name,city,lat,lon,timezone_offset
Accor Stadium,Sydney,-33.8473,151.0636,10
Allianz Stadium,Sydney,-33.8920,151.2238,10
Bankwest Stadium,Sydney,-33.8136,151.0034,10
CommBank Stadium,Sydney,-33.8136,151.0034,10
McDonald Jones Stadium,Newcastle,-32.9262,151.7757,10
Suncorp Stadium,Brisbane,-27.4641,153.0100,10
Kayo Stadium,Redcliffe,-27.2390,153.0955,10
Cbus Super Stadium,Gold Coast,-27.9975,153.3624,10
PointsBet Stadium,Cronulla,-34.0455,151.1515,10
Netstrata Jubilee Stadium,Sydney,-33.9750,151.0630,10
Campbelltown Sports Stadium,Sydney,-34.0721,150.8115,10
WIN Stadium,Wollongong,-34.4218,150.8936,10
Leichhardt Oval,Sydney,-33.8790,151.1504,10
BlueBet Stadium,Penrith,-33.7506,150.6894,10
Apex Oval,Dubbo,-32.2393,148.6019,10
GIO Stadium,Canberra,-35.2452,149.0877,10
AAMI Park,Melbourne,-37.8230,144.9844,11
ENGIE Stadium,Melbourne,-37.9183,145.0022,11
Go Media Stadium,Auckland,-36.9001,174.7779,13
Mt Smart Stadium,Auckland,-36.9001,174.7779,13
4 Pines Park,Sydney,-33.7960,151.2858,10
Industree Group Stadium,Sydney,-33.7172,151.0976,10
Scully Park,Tamworth,-31.0909,150.9320,10
Marley Brown Oval,Gympie,-26.1910,152.6730,10
Queensland Country Bank Stadium,Townsville,-19.2619,146.7726,10
Northern Australia Carnival Venue,Cairns,-16.9186,145.7781,10
Optus Stadium,Perth,-31.9505,115.8605,8
